trial_num, prob_same,response_num, response_time,target_response, response_switch_target, actual_response, response_correct,response_switch_actual,blood sugar
5,0.1,2,608,D,,S,incorrect,,normal
5,0.1,3,864,D,same_key,S,incorrect,same_key,normal
5,0.1,4,864,D,same_key,D,correct,different_key,normal
5,0.1,5,766,D,same_key,D,correct,same_key,normal
5,0.1,6,669,D,same_key,D,correct,same_key,normal
5,0.1,7,942,S,different_key,S,correct,different_key,normal
5,0.1,8,725,D,different_key,D,correct,different_key,normal
5,0.1,9,905,D,same_key,D,correct,same_key,normal
5,0.1,10,979,D,same_key,D,correct,same_key,normal
5,0.1,11,649,D,same_key,D,correct,same_key,normal
5,0.1,12,690,D,same_key,D,correct,same_key,normal
5,0.1,13,705,D,same_key,D,correct,same_key,normal
5,0.1,14,688,D,same_key,D,correct,same_key,normal
5,0.1,15,688,D,same_key,D,correct,same_key,normal
5,0.1,16,668,D,same_key,D,correct,same_key,normal
5,0.1,17,628,D,same_key,D,correct,same_key,normal
5,0.1,18,708,D,same_key,D,correct,same_key,normal
5,0.1,19,864,D,same_key,D,correct,same_key,normal
5,0.1,20,689,D,same_key,D,correct,same_key,normal
5,0.1,21,745,S,different_key,S,correct,different_key,normal
5,0.1,22,690,D,different_key,D,correct,different_key,normal
5,0.1,23,822,D,same_key,D,correct,same_key,normal
5,0.1,24,924,D,same_key,D,correct,same_key,normal
5,0.1,25,668,D,same_key,D,correct,same_key,normal
5,0.1,26,688,D,same_key,D,correct,same_key,normal
5,0.1,27,688,D,same_key,D,correct,same_key,normal
5,0.1,28,648,D,same_key,D,correct,same_key,normal
5,0.1,29,630,D,same_key,D,correct,same_key,normal
5,0.1,30,671,D,same_key,D,correct,same_key,normal
5,0.1,31,685,D,same_key,D,correct,same_key,normal
5,0.1,32,825,D,same_key,S,incorrect,different_key,normal
5,0.1,33,843,D,same_key,D,correct,different_key,normal
5,0.1,34,806,D,same_key,D,correct,same_key,normal
5,0.1,35,787,D,same_key,D,correct,same_key,normal
5,0.1,36,609,D,same_key,D,correct,same_key,normal
5,0.1,37,669,D,same_key,D,correct,same_key,normal
5,0.1,38,726,D,same_key,D,correct,same_key,normal
5,0.1,39,727,D,same_key,D,correct,same_key,normal
5,0.1,40,706,D,same_key,D,correct,same_key,normal
5,0.1,41,688,D,same_key,D,correct,same_key,normal
5,0.1,42,650,S,different_key,D,incorrect,same_key,normal
5,0.1,43,746,D,different_key,D,correct,same_key,normal
5,0.1,44,1158,D,same_key,D,correct,same_key,normal
5,0.1,45,786,D,same_key,D,correct,same_key,normal
5,0.1,46,862,S,different_key,S,correct,different_key,normal
5,0.1,47,904,D,different_key,D,correct,different_key,normal
5,0.1,48,766,D,same_key,D,correct,same_key,normal
5,0.1,49,864,D,same_key,D,correct,same_key,normal
5,0.1,50,668,D,same_key,D,correct,same_key,normal
5,0.1,51,668,D,same_key,D,correct,same_key,normal
5,0.1,52,628,D,same_key,D,correct,same_key,normal
5,0.1,53,786,D,same_key,D,correct,same_key,normal
5,0.1,54,650,D,same_key,D,correct,same_key,normal
5,0.1,55,803,D,same_key,D,correct,same_key,normal
5,0.1,56,708,D,same_key,D,correct,same_key,normal
5,0.1,57,649,D,same_key,D,correct,same_key,normal
5,0.1,58,1019,D,same_key,D,correct,same_key,normal
5,0.1,59,656,D,same_key,D,correct,same_key,normal
5,0.1,60,738,D,same_key,D,correct,same_key,normal
5,0.1,61,668,D,same_key,D,correct,same_key,normal
5,0.1,62,610,D,same_key,D,correct,same_key,normal
5,0.1,63,668,D,same_key,D,correct,same_key,normal
5,0.1,64,631,D,same_key,D,correct,same_key,normal
5,0.1,65,627,D,same_key,D,correct,same_key,normal
5,0.1,66,670,D,same_key,D,correct,same_key,normal
5,0.1,67,571,D,same_key,D,correct,same_key,normal
5,0.1,68,707,S,different_key,S,correct,different_key,normal
5,0.1,69,668,D,different_key,D,correct,different_key,normal
5,0.1,70,688,D,same_key,D,correct,same_key,normal
5,0.1,71,628,D,same_key,D,correct,same_key,normal
5,0.1,72,728,D,same_key,D,correct,same_key,normal
5,0.1,73,668,D,same_key,D,correct,same_key,normal
5,0.1,74,590,D,same_key,D,correct,same_key,normal
5,0.1,75,1078,D,same_key,D,correct,same_key,normal
5,0.1,76,668,D,same_key,D,correct,same_key,normal
5,0.1,77,767,D,same_key,D,correct,same_key,normal
5,0.1,78,688,D,same_key,D,correct,same_key,normal
5,0.1,79,708,D,same_key,D,correct,same_key,normal
5,0.1,80,959,D,same_key,D,correct,same_key,normal
5,0.1,81,610,D,same_key,D,correct,same_key,normal
6,0.75,2,686,D,,D,correct,,normal
6,0.75,3,826,S,different_key,D,incorrect,same_key,normal
6,0.75,4,1119,S,same_key,S,correct,different_key,normal
6,0.75,5,764,D,different_key,D,correct,different_key,normal
6,0.75,6,766,S,different_key,S,correct,different_key,normal
6,0.75,7,668,S,same_key,S,correct,same_key,normal
6,0.75,8,687,D,different_key,D,correct,different_key,normal
6,0.75,9,688,D,same_key,D,correct,same_key,normal
6,0.75,10,982,S,different_key,S,correct,different_key,normal
6,0.75,11,1624,D,different_key,D,correct,different_key,normal
6,0.75,12,1802,D,same_key,S,incorrect,different_key,normal
6,0.75,13,1196,S,different_key,S,correct,same_key,normal
6,0.75,14,628,S,same_key,S,correct,same_key,normal
6,0.75,15,512,S,same_key,S,correct,same_key,normal
6,0.75,16,514,S,same_key,S,correct,same_key,normal
6,0.75,17,706,D,different_key,D,correct,different_key,normal
6,0.75,18,709,S,different_key,S,correct,different_key,normal
6,0.75,19,491,S,same_key,S,correct,same_key,normal
6,0.75,20,709,D,different_key,D,correct,different_key,normal
